id;start_date;end_date;language
1;2019-12-06T04:52:10;2019-12-05T22:00:28;FRENCH
2;2019-12-05T15:28:26;2019-12-06T04:14:07;ENGLISH
3;2019-12-05T14:54:53;2019-12-05T16:51:13;FRENCH
4;2019-12-06T02:40:43;2019-12-05T19:02:21;ENGLISH
5;2019-12-06T05:50:18;2019-12-06T06:25:15;FRENCH
6;2019-12-05T12:05:35;2019-12-05T09:06:58;SPANISH
7;2019-12-05T21:15:39;2019-12-06T00:18:46;ENGLISH
8;2019-12-05T23:03:36;2019-12-06T07:28:14;FRENCH
9;2019-12-05T23:38:00;2019-12-06T08:15:24;ENGLISH
10;2019-12-05T16:48:56;2019-12-05T16:12:33;SPANISH
